periodo,trimestre,entidad_federativa,sexo,poblacion_ocupada,poblacion_edad_trabajar,tasa_neta_ocupacion
2007,4,Sinaloa,Mujeres,414828.0,998323.0,41.55248351
2007,4,Sonora,Hombres,636193.0,838668.0,75.85755031
2007,4,Sonora,Mujeres,398296.0,940757.0,42.33781944
2007,4,Tabasco,Hombres,522876.0,688082.0,75.99036161
2007,4,Tabasco,Mujeres,319467.0,792367.0,40.31805969
2007,4,Tamaulipas,Hombres,833209.0,1063750.0,78.32752056
2007,4,Tamaulipas,Mujeres,496346.0,1149314.0,43.1862833
2007,4,Tlaxcala,Hombres,273046.0,358084.0,76.25194089
2007,4,Tlaxcala,Mujeres,163372.0,406566.0,40.18338966
2007,4,Veracruz,Hombres,1893945.0,2432831.0,77.84942727
2007,4,Veracruz,Mujeres,1047916.0,2840036.0,36.89798298
2007,4,Yucatán,Hombres,506825.0,623970.0,81.22586022
2007,4,Yucatán,Mujeres,330621.0,699025.0,47.29745002
2007,4,Zacatecas,Hombres,361282.0,457106.0,79.03680984
2007,4,Zacatecas,Mujeres,211648.0,523446.0,40.43358818
2008,1,Nacional,Hombres,27387288.0,35594978.0,76.9414382
2008,1,Nacional,Mujeres,16465691.0,40510495.0,40.64549446
2008,1,Aguascalientes,Hombres,269766.0,360715.0,74.78646577
2008,1,Aguascalientes,Mujeres,157000.0,407460.0,38.53138958
2008,1,Baja California,Hombres,787115.0,1060003.0,74.25592192
2008,1,Baja California,Mujeres,471478.0,1096868.0,42.9840236
2008,1,Baja California Sur,Hombres,170833.0,209361.0,81.59733666
2008,1,Baja California Sur,Mujeres,99934.0,210426.0,47.49127959
2008,1,Campeche,Hombres,221745.0,268433.0,82.60720552
2008,1,Campeche,Mujeres,115432.0,288334.0,40.03412709
2008,1,Coahuila,Hombres,706508.0,917648.0,76.99117744
2008,1,Coahuila,Mujeres,384672.0,967377.0,39.76443517
