periodo,trimestre,entidad_federativa,sexo,poblacion_ocupada_asalariada,poblacion_ocupada,tasa_trabajo_asalariado
2006,4,Chiapas,Hombres,431746.0,1117195.0,38.64553637
2006,4,Chiapas,Mujeres,191035.0,435329.0,43.88290236
2006,4,Chihuahua,Hombres,548641.0,867622.0,63.23502631
2006,4,Chihuahua,Mujeres,329998.0,451665.0,73.06255743
2006,4,Ciudad de México,Hombres,1444592.0,2238155.0,64.54387654
2006,4,Ciudad de México,Mujeres,1206383.0,1698340.0,71.03306758
2006,4,Durango,Hombres,223960.0,374667.0,59.77574753
2006,4,Durango,Mujeres,130723.0,192606.0,67.870679
2006,4,Guanajuato,Hombres,714150.0,1230943.0,58.0164963
2006,4,Guanajuato,Mujeres,443235.0,729050.0,60.79624168
2006,4,Guerrero,Hombres,288599.0,746111.0,38.68043763
2006,4,Guerrero,Mujeres,204725.0,472289.0,43.34739958
2006,4,Hidalgo,Hombres,310714.0,598402.0,51.92395747
2006,4,Hidalgo,Mujeres,179876.0,326238.0,55.13643414
2006,4,Jalisco,Hombres,1050171.0,1776750.0,59.10628957
2006,4,Jalisco,Mujeres,713403.0,1116985.0,63.8686285
2006,4,México,Hombres,2404652.0,3677481.0,65.38856353
2006,4,México,Mujeres,1436038.0,2158427.0,66.53169183
2006,4,Michoacán,Hombres,506554.0,1007822.0,50.26224869
2006,4,Michoacán,Mujeres,292511.0,642639.0,45.5171566
2006,4,Morelos,Hombres,250892.0,418747.0,59.9149367
2006,4,Morelos,Mujeres,176496.0,278537.0,63.36536977
2006,4,Nayarit,Hombres,144920.0,270260.0,53.62243765
2006,4,Nayarit,Mujeres,92942.0,162697.0,57.12582285
2006,4,Nuevo León,Hombres,899769.0,1231936.0,73.03699218
2006,4,Nuevo León,Mujeres,510765.0,681543.0,74.94244677
2006,4,Oaxaca,Hombres,323621.0,861433.0,37.56775048
2006,4,Oaxaca,Mujeres,187974.0,563767.0,33.34249788
2006,4,Puebla,Hombres,785754.0,1332872.0,58.95194737
2006,4,Puebla,Mujeres,436648.0,892419.0,48.92858624
2006,4,Querétaro,Hombres,257958.0,394155.0,65.44582715
2006,4,Querétaro,Mujeres,178983.0,257997.0,69.37406249
2006,4,Quintana Roo,Hombres,232208.0,345777.0,67.15542098
2006,4,Quintana Roo,Mujeres,131215.0,200609.0,65.40833163
2006,4,San Luis Potosí,Hombres,336779.0,603684.0,55.78729932
2006,4,San Luis Potosí,Mujeres,218361.0,368318.0,59.28599743
2006,4,Sinaloa,Hombres,403235.0,717384.0,56.20908746
2006,4,Sinaloa,Mujeres,244665.0,395404.0,61.87721925
2006,4,Sonora,Hombres,396713.0,612668.0,64.75170892
2006,4,Sonora,Mujeres,279010.0,371399.0,75.12405795
2006,4,Tabasco,Hombres,356057.0,534753.0,66.58345068
2006,4,Tabasco,Mujeres,159556.0,237218.0,67.26133767
2006,4,Tamaulipas,Hombres,526634.0,803846.0,65.51429005
2006,4,Tamaulipas,Mujeres,333769.0,488921.0,68.26644795
2006,4,Tlaxcala,Hombres,162609.0,268602.0,60.53901311
2006,4,Tlaxcala,Mujeres,93929.0,164716.0,57.02481848
2006,4,Veracruz,Hombres,1090813.0,1865282.0,58.47979019
2006,4,Veracruz,Mujeres,576702.0,1002857.0,57.50590563
2006,4,Yucatán,Hombres,310357.0,504934.0,61.46486471
2006,4,Yucatán,Mujeres,177197.0,317531.0,55.8046301
2006,4,Zacatecas,Hombres,181673.0,360858.0,50.34473394
2006,4,Zacatecas,Mujeres,107062.0,215565.0,49.66576207
2007,1,Nacional,Hombres,16032686.0,26786676.0,59.8532121
2007,1,Nacional,Mujeres,9842913.0,15930777.0,61.78551743
2007,1,Aguascalientes,Hombres,181953.0,257536.0,70.65148173
2007,1,Aguascalientes,Mujeres,113603.0,159018.0,71.44034009
2007,1,Baja California,Hombres,504048.0,762338.0,66.11870325
2007,1,Baja California,Mujeres,330060.0,443850.0,74.36296046
2007,1,Baja California Sur,Hombres,111835.0,161159.0,69.39420076
2007,1,Baja California Sur,Mujeres,60350.0,84490.0,71.42857143
2007,1,Campeche,Hombres,121086.0,207104.0,58.46627781
2007,1,Campeche,Mujeres,67670.0,112782.0,60.00070933
2007,1,Coahuila,Hombres,493362.0,672562.0,73.35561629
2007,1,Coahuila,Mujeres,254013.0,357083.0,71.13556232
2007,1,Colima,Hombres,104204.0,162359.0,64.18122802
2007,1,Colima,Mujeres,70648.0,108349.0,65.20410894
2007,1,Chiapas,Hombres,436019.0,1112153.0,39.20494752
2007,1,Chiapas,Mujeres,180287.0,439548.0,41.01645327
